Age,Gender,JobRole,Department,MonthlyIncome,TotalAllowances,TenureYears,Attendance_LateCount,Attendance_AbsentCount,Attendance_HalfDayCount,Leave_TotalDaysApproved,Leave_RequestCount,Attrition,DataSource,SampleWeight
28,Female,Sales Executive,Sales,222614.99,23307.52,5.65,0,2,0,5.0,3,No,Local_Synthetic,0.5
53,Male,Marketing Manager,Marketing,319547.39,20666.51,1.24,4,0,1,13.9,5,No,Local_Synthetic,0.5
48,Male,Senior Accountant,Finance,257262.27,21514.48,2.42,4,0,0,5.9,3,No,Local_Synthetic,0.5
43,Male,HR Manager,HR,341817.64,50850.41,3.04,0,0,0,2.5,1,No,Local_Synthetic,0.5
35,Female,Marketing Manager,Marketing,120531.68,6222.21,0.63,1,1,1,7.9,4,No,Local_Synthetic,0.5
49,Female,Finance Controller,Finance,275210.47,26214.02,10.27,0,0,1,1.9,1,Yes,Local_Synthetic,0.5
40,Male,Marketing Executive,Marketing,281680.2,37819.92,1.91,2,0,0,4.5,2,No,Local_Synthetic,0.5
37,Female,Digital Marketer,Marketing,83240.22,6858.17,0.26,4,0,0,6.1,4,No,Local_Synthetic,0.5
37,Female,Software Engineer,Engineering,81646.63,7999.72,0.38,1,0,2,3.0,2,Yes,Local_Synthetic,0.5
29,Female,HR Manager,HR,348640.38,51530.64,1.74,2,2,0,8.9,3,No,Local_Synthetic,0.5
25,Female,Project Manager,Operations,400627.35,39056.23,0.44,0,1,0,8.2,3,No,Local_Synthetic,0.5
40,Male,Project Manager,Operations,125939.66,7945.8,1.14,5,1,0,12.4,5,No,Local_Synthetic,0.5
52,Female,QA Engineer,Engineering,48295.03,2664.54,2.6,5,4,1,2.5,2,No,Local_Synthetic,0.5
24,Male,Account Manager,Sales,304571.58,44023.28,0.15,0,0,1,5.3,5,No,Local_Synthetic,0.5
51,Male,Senior Accountant,Finance,210363.92,16109.87,1.26,1,2,1,5.4,4,No,Local_Synthetic,0.5
50,Male,Project Manager,Operations,473238.6,47516.18,5.49,1,0,0,11.5,4,No,Local_Synthetic,0.5
31,Female,Senior Software Engineer,Engineering,246834.94,14580.58,0.26,0,2,0,2.6,1,No,Local_Synthetic,0.5
43,Female,Accountant,Finance,71133.38,6570.27,3.4,0,0,0,2.0,1,No,Local_Synthetic,0.5
27,Male,Senior Account Manager,Sales,168609.27,24112.91,0.18,3,0,0,11.8,4,No,Local_Synthetic,0.5
47,Male,Sales Executive,Sales,53477.22,5360.63,9.37,2,2,1,3.9,3,No,Local_Synthetic,0.5
45,Male,Accountant,Finance,128985.31,18975.48,0.89,4,4,0,4.2,2,No,Local_Synthetic,0.5
34,Female,HR Manager,HR,259676.33,19705.16,0.86,0,1,0,6.8,5,No,Local_Synthetic,0.5
24,Male,Accountant,Finance,120672.53,12122.1,3.82,3,0,3,3.2,2,No,Local_Synthetic,0.5
55,Female,Account Manager,Sales,431100.49,58609.44,7.91,2,2,1,8.6,3,No,Local_Synthetic,0.5
37,Male,Senior Project Manager,Operations,452233.0,42883.1,11.16,0,0,2,10.9,4,No,Local_Synthetic,0.5
52,Male,QA Engineer,Engineering,76013.44,5925.15,4.84,1,0,1,6.0,5,No,Local_Synthetic,0.5
45,Female,Marketing Executive,Marketing,66320.54,8989.59,6.05,2,0,0,7.5,5,No,Local_Synthetic,0.5
48,Male,Software Engineer,Engineering,96275.23,8567.43,3.84,0,0,1,8.8,4,No,Local_Synthetic,0.5
47,Male,Senior Project Manager,Operations,349650.36,36039.28,0.67,0,0,2,1.1,1,No,Local_Synthetic,0.5
28,Male,HR Executive,HR,156011.46,23035.51,4.08,0,0,0,2.1,1,No,Local_Synthetic,0.5
34,Female,HR Manager,HR,414627.9,28463.51,0.58,3,0,2,8.7,4,No,Local_Synthetic,0.5
37,Male,Software Engineer,Engineering,56406.15,4520.39,3.46,1,2,0,4.7,3,No,Local_Synthetic,0.5
38,Male,Operations Executive,Operations,282790.63,15018.15,2.69,1,2,2,1.6,1,No,Local_Synthetic,0.5
23,Male,DevOps Engineer,Engineering,59991.23,5350.24,1.25,3,4,0,5.8,4,Yes,Local_Synthetic,0.5
40,Female,Finance Controller,Finance,377843.0,26455.94,2.49,0,0,1,14.4,5,No,Local_Synthetic,0.5
27,Female,Senior Project Manager,Operations,142572.48,16824.05,3.16,4,3,0,1.8,1,No,Local_Synthetic,0.5
47,Female,Marketing Manager,Marketing,192998.75,13149.42,0.81,1,0,1,10.9,5,No,Local_Synthetic,0.5
45,Male,Operations Executive,Operations,238023.99,27963.36,1.46,1,1,0,3.2,2,No,Local_Synthetic,0.5
53,Female,Senior Account Manager,Sales,252252.27,19258.84,1.48,0,0,1,4.8,2,No,Local_Synthetic,0.5
47,Male,Senior Project Manager,Operations,391802.8,33507.67,0.39,2,1,1,4.8,4,No,Local_Synthetic,0.5
34,Female,Operations Executive,Operations,152105.87,12911.67,1.01,1,0,1,2.3,2,No,Local_Synthetic,0.5
54,Female,Sales Executive,Sales,134950.37,16420.11,3.59,1,0,2,2.5,1,No,Local_Synthetic,0.5
35,Female,DevOps Engineer,Engineering,120443.62,11640.99,4.18,0,0,2,12.3,5,Yes,Local_Synthetic,0.5
33,Female,Marketing Executive,Marketing,128870.99,11099.64,2.01,1,0,2,3.1,2,No,Local_Synthetic,0.5
52,Female,DevOps Engineer,Engineering,46890.04,6342.45,2.1,0,2,0,1.7,1,No,Local_Synthetic,0.5
34,Male,Accountant,Finance,105689.8,11329.42,1.39,2,1,1,11.7,4,No,Local_Synthetic,0.5
24,Female,Sales Executive,Sales,169789.52,12120.1,4.08,4,3,1,2.4,2,Yes,Local_Synthetic,0.5
37,Female,Senior Software Engineer,Engineering,327993.32,45922.06,1.42,0,0,0,5.5,4,No,Local_Synthetic,0.5
49,Female,Operations Executive,Operations,80896.62,6816.76,3.35,0,0,0,1.9,1,No,Local_Synthetic,0.5
28,Female,QA Engineer,Engineering,64374.9,3469.67,2.24,3,3,1,4.7,3,Yes,Local_Synthetic,0.5
37,Male,Senior Project Manager,Operations,221872.09,22067.4,2.1,0,0,1,6.9,3,No,Local_Synthetic,0.5
26,Female,Senior Project Manager,Operations,241918.71,15094.23,10.06,2,1,1,11.9,5,No,Local_Synthetic,0.5
45,Male,QA Engineer,Engineering,52944.94,3909.81,7.51,1,0,0,6.2,3,Yes,Local_Synthetic,0.5
38,Female,Sales Executive,Sales,112360.51,14012.6,3.34,3,3,2,11.1,5,No,Local_Synthetic,0.5
33,Female,Senior Project Manager,Operations,209211.44,13196.05,4.18,1,0,0,3.7,2,No,Local_Synthetic,0.5
29,Male,Senior Accountant,Finance,381230.02,49824.64,0.52,1,0,2,7.6,3,No,Local_Synthetic,0.5
41,Female,QA Engineer,Engineering,101978.6,14653.38,1.62,0,1,1,5.4,5,No,Local_Synthetic,0.5
44,Female,Marketing Manager,Marketing,264136.34,29227.53,4.56,7,5,0,1.6,1,No,Local_Synthetic,0.5
53,Female,Senior Account Manager,Sales,239361.19,28971.3,3.58,9,2,2,11.8,5,No,Local_Synthetic,0.5
36,Male,DevOps Engineer,Engineering,83429.66,10124.91,0.83,1,2,0,6.6,4,Yes,Local_Synthetic,0.5
27,Male,Digital Marketer,Marketing,62618.08,9347.68,10.87,1,0,1,4.6,4,Yes,Local_Synthetic,0.5
50,Female,QA Engineer,Engineering,56711.5,4772.49,0.13,0,1,0,3.4,2,No,Local_Synthetic,0.5
43,Female,Finance Controller,Finance,192231.64,12742.2,3.9,1,0,1,12.1,5,No,Local_Synthetic,0.5
45,Female,Marketing Executive,Marketing,112107.45,11425.62,0.34,1,0,0,6.2,5,No,Local_Synthetic,0.5
25,Female,Accountant,Finance,93170.08,9626.8,8.6,1,0,0,4.9,2,Yes,Local_Synthetic,0.5
32,Male,Senior Accountant,Finance,298751.89,20252.76,0.3,0,0,0,7.7,3,No,Local_Synthetic,0.5
48,Female,HR Executive,HR,180737.0,20118.01,5.43,1,1,1,2.3,1,Yes,Local_Synthetic,0.5
50,Male,Senior Software Engineer,Engineering,148405.78,7629.91,0.63,0,0,0,3.0,2,No,Local_Synthetic,0.5
36,Female,Finance Controller,Finance,282828.61,40378.55,15.0,2,1,0,2.6,1,Yes,Local_Synthetic,0.5
49,Female,Marketing Manager,Marketing,256419.63,19605.19,2.02,1,0,0,4.3,3,No,Local_Synthetic,0.5
50,Female,QA Engineer,Engineering,88630.78,4782.16,4.11,1,1,0,8.4,3,No,Local_Synthetic,0.5
35,Female,Digital Marketer,Marketing,79690.07,4847.14,3.43,0,0,1,7.2,3,No,Local_Synthetic,0.5
52,Male,HR Executive,HR,84173.71,6230.95,2.34,1,1,0,4.4,4,Yes,Local_Synthetic,0.5
31,Male,Finance Controller,Finance,168989.04,13078.17,5.05,0,0,0,13.0,5,No,Local_Synthetic,0.5
30,Male,QA Engineer,Engineering,80709.29,4300.27,2.59,0,0,0,2.0,1,No,Local_Synthetic,0.5
45,Female,Accountant,Finance,200680.83,15640.16,9.59,2,0,0,3.8,2,Yes,Local_Synthetic,0.5
43,Male,Account Manager,Sales,115482.0,8002.23,0.21,1,0,1,3.7,2,No,Local_Synthetic,0.5
26,Female,Account Manager,Sales,321526.59,28250.0,15.0,4,1,1,11.1,5,Yes,Local_Synthetic,0.5
50,Male,Senior Project Manager,Operations,450626.31,39887.99,2.9,0,1,2,2.4,1,No,Local_Synthetic,0.5
28,Male,DevOps Engineer,Engineering,76410.4,6410.89,1.03,1,1,0,2.8,1,No,Local_Synthetic,0.5
49,Male,HR Manager,HR,348929.75,28888.73,2.05,1,0,1,1.5,1,No,Local_Synthetic,0.5
22,Male,Senior Accountant,Finance,211359.82,12464.55,4.35,0,0,0,9.0,4,No,Local_Synthetic,0.5
49,Male,Senior Software Engineer,Engineering,266945.13,14020.09,3.49,3,0,1,7.1,3,No,Local_Synthetic,0.5
48,Male,Account Manager,Sales,146411.95,10279.79,7.31,3,3,1,11.7,5,Yes,Local_Synthetic,0.5
48,Female,HR Executive,HR,61628.37,7744.53,7.97,1,0,0,4.0,2,Yes,Local_Synthetic,0.5
44,Female,Finance Controller,Finance,408256.61,60863.29,3.31,2,1,0,3.6,2,No,Local_Synthetic,0.5
38,Female,Marketing Manager,Marketing,188819.52,26973.36,5.51,1,1,0,7.6,3,No,Local_Synthetic,0.5
45,Male,Marketing Manager,Marketing,233359.1,23434.37,2.35,2,1,3,1.6,1,No,Local_Synthetic,0.5
31,Female,Sales Executive,Sales,86175.65,8891.81,0.4,1,1,0,7.1,5,No,Local_Synthetic,0.5
48,Female,Senior Software Engineer,Engineering,159301.99,12976.45,1.9,1,0,0,10.5,5,No,Local_Synthetic,0.5
40,Female,DevOps Engineer,Engineering,75934.82,9673.64,1.03,2,1,0,1.5,1,No,Local_Synthetic,0.5
37,Male,Senior Accountant,Finance,209130.56,26449.93,6.9,0,0,2,5.3,5,No,Local_Synthetic,0.5
39,Female,QA Engineer,Engineering,89605.61,12045.43,0.8,2,0,1,3.3,3,No,Local_Synthetic,0.5
41,Female,Account Manager,Sales,335561.41,46827.75,4.46,3,0,0,4.8,2,No,Local_Synthetic,0.5
23,Male,Digital Marketer,Marketing,88083.17,8230.04,7.95,0,2,2,14.7,5,No,Local_Synthetic,0.5
26,Male,Digital Marketer,Marketing,85936.35,10887.07,0.47,1,2,0,5.7,3,No,Local_Synthetic,0.5
30,Female,Marketing Manager,Marketing,526313.42,68757.52,3.32,2,0,0,2.6,2,No,Local_Synthetic,0.5
25,Male,Account Manager,Sales,182682.94,14769.18,9.13,2,0,1,13.2,5,Yes,Local_Synthetic,0.5
36,Male,Finance Controller,Finance,273914.4,39149.0,1.81,1,0,2,6.1,4,No,Local_Synthetic,0.5
44,Female,Accountant,Finance,208113.55,12369.05,1.72,0,0,0,3.0,1,Yes,Local_Synthetic,0.5
44,Male,Account Manager,Sales,464334.65,69384.1,2.32,0,1,1,8.5,4,Yes,Local_Synthetic,0.5
38,Male,Finance Controller,Finance,158552.24,20137.57,0.72,1,0,2,5.9,4,No,Local_Synthetic,0.5
51,Male,Finance Controller,Finance,247113.42,14660.52,0.63,0,1,0,4.0,2,No,Local_Synthetic,0.5
41,Female,HR Manager,HR,482045.28,55735.5,10.87,0,0,0,5.0,3,No,Local_Synthetic,0.5
24,Male,Operations Executive,Operations,167246.72,8933.98,8.4,1,2,0,12.8,5,Yes,Local_Synthetic,0.5
48,Female,Senior Project Manager,Operations,302746.2,38454.43,2.06,1,2,1,1.2,1,No,Local_Synthetic,0.5
41,Male,Finance Controller,Finance,256650.63,33344.64,1.13,1,0,0,10.9,4,No,Local_Synthetic,0.5
43,Female,Senior Project Manager,Operations,240151.32,26474.53,4.7,0,2,0,12.7,5,No,Local_Synthetic,0.5
41,Female,Operations Executive,Operations,154859.63,21012.29,15.0,2,2,0,13.6,5,Yes,Local_Synthetic,0.5
40,Female,Finance Controller,Finance,253113.99,15133.26,7.59,1,1,1,5.6,2,No,Local_Synthetic,0.5
25,Female,Senior Account Manager,Sales,275271.57,21358.98,1.7,0,2,1,2.9,2,No,Local_Synthetic,0.5
41,Male,Senior Project Manager,Operations,288942.9,26414.51,2.32,6,2,0,10.2,5,Yes,Local_Synthetic,0.5
49,Female,Operations Executive,Operations,110422.88,5989.98,3.83,1,0,1,8.1,3,No,Local_Synthetic,0.5
32,Female,Marketing Manager,Marketing,346416.34,32847.75,2.63,1,1,1,5.3,3,No,Local_Synthetic,0.5
42,Female,Software Engineer,Engineering,191770.63,14674.55,1.13,1,1,0,3.4,3,No,Local_Synthetic,0.5
23,Female,HR Executive,HR,75165.86,6710.32,1.12,3,0,0,4.7,3,No,Local_Synthetic,0.5
33,Female,Digital Marketer,Marketing,88166.79,8156.33,3.79,1,1,1,5.9,4,No,Local_Synthetic,0.5
36,Male,Senior Accountant,Finance,206585.33,28496.62,12.23,1,0,1,8.2,3,No,Local_Synthetic,0.5
55,Male,Marketing Manager,Marketing,352746.84,27173.53,0.67,3,0,2,3.9,2,No,Local_Synthetic,0.5
29,Male,Software Engineer,Engineering,81125.22,11306.77,4.16,0,0,0,7.1,3,No,Local_Synthetic,0.5
31,Male,QA Engineer,Engineering,100542.76,9309.97,9.19,6,1,0,11.7,4,No,Local_Synthetic,0.5
35,Female,Project Manager,Operations,448089.16,37093.17,0.08,0,0,2,8.0,5,No,Local_Synthetic,0.5
55,Female,HR Manager,HR,302402.24,30316.19,1.92,3,1,0,7.6,3,No,Local_Synthetic,0.5
51,Male,Accountant,Finance,208067.12,19095.22,4.72,1,0,0,4.2,4,No,Local_Synthetic,0.5
23,Male,HR Executive,HR,61629.35,4667.64,7.96,1,0,0,3.6,3,No,Local_Synthetic,0.5
29,Female,HR Executive,HR,244276.49,24493.1,9.86,3,0,1,5.3,4,No,Local_Synthetic,0.5
49,Female,Digital Marketer,Marketing,89527.45,5835.41,1.17,1,1,0,3.2,2,No,Local_Synthetic,0.5
23,Female,QA Engineer,Engineering,110540.24,9417.25,0.25,1,0,3,5.4,3,No,Local_Synthetic,0.5
51,Female,Project Manager,Operations,171887.35,18319.59,1.19,0,1,2,2.0,1,No,Local_Synthetic,0.5
31,Female,Digital Marketer,Marketing,62352.0,5695.28,2.83,2,3,0,3.0,2,No,Local_Synthetic,0.5
53,Female,Accountant,Finance,147336.76,19506.1,0.93,0,1,2,4.5,4,No,Local_Synthetic,0.5
31,Male,HR Executive,HR,139167.63,10531.12,1.5,1,3,2,2.4,1,No,Local_Synthetic,0.5
36,Female,QA Engineer,Engineering,87090.45,12800.31,4.97,0,1,1,2.1,2,No,Local_Synthetic,0.5
44,Male,Senior Project Manager,Operations,432073.48,55509.43,0.08,1,1,0,10.5,4,No,Local_Synthetic,0.5
26,Male,HR Executive,HR,75476.04,11076.81,6.22,1,1,1,14.3,5,Yes,Local_Synthetic,0.5
40,Male,DevOps Engineer,Engineering,107143.85,14337.31,0.08,0,0,1,7.3,3,No,Local_Synthetic,0.5
39,Male,HR Manager,HR,280929.11,18038.57,3.35,1,0,1,6.6,3,Yes,Local_Synthetic,0.5
48,Male,Marketing Executive,Marketing,130362.47,13381.19,0.21,2,0,0,6.9,3,No,Local_Synthetic,0.5
55,Female,Account Manager,Sales,155453.01,10415.02,1.12,1,1,1,9.2,4,No,Local_Synthetic,0.5
44,Female,Sales Executive,Sales,166952.52,22008.14,2.04,1,1,2,8.6,3,No,Local_Synthetic,0.5
35,Male,Operations Executive,Operations,60141.77,6520.34,7.61,2,2,0,2.9,1,No,Local_Synthetic,0.5
35,Female,Account Manager,Sales,362907.22,27706.13,0.76,2,0,0,5.6,3,No,Local_Synthetic,0.5
36,Male,Digital Marketer,Marketing,51131.2,7309.71,13.6,4,0,1,4.5,2,No,Local_Synthetic,0.5
49,Male,Marketing Manager,Marketing,286051.76,17597.51,7.62,3,0,0,10.4,4,No,Local_Synthetic,0.5
32,Female,Marketing Executive,Marketing,134280.83,14285.63,0.28,1,0,1,1.0,1,No,Local_Synthetic,0.5
27,Male,Marketing Manager,Marketing,447020.68,54583.04,0.08,1,0,1,8.2,4,No,Local_Synthetic,0.5
33,Female,Sales Executive,Sales,131513.97,7349.64,0.59,0,0,0,2.3,1,No,Local_Synthetic,0.5
22,Female,Sales Executive,Sales,109803.67,12054.86,3.41,1,0,0,12.2,5,No,Local_Synthetic,0.5
25,Male,HR Manager,HR,228639.96,30086.76,15.0,2,0,2,7.0,4,Yes,Local_Synthetic,0.5
25,Male,HR Manager,HR,465886.81,26440.35,1.24,1,1,1,1.6,1,Yes,Local_Synthetic,0.5
48,Female,Digital Marketer,Marketing,93964.38,9511.48,4.89,8,0,0,6.8,5,No,Local_Synthetic,0.5
46,Female,Operations Executive,Operations,122323.84,9278.96,0.29,2,1,1,6.3,3,No,Local_Synthetic,0.5
45,Female,Accountant,Finance,128880.57,14987.84,5.46,2,0,0,11.4,4,Yes,Local_Synthetic,0.5
37,Male,Digital Marketer,Marketing,49992.53,3092.92,6.96,0,0,1,2.8,1,Yes,Local_Synthetic,0.5
46,Male,Senior Accountant,Finance,327071.66,47001.88,7.76,2,0,0,1.7,1,No,Local_Synthetic,0.5
27,Female,HR Manager,HR,138499.03,19316.86,7.88,1,1,0,7.6,5,Yes,Local_Synthetic,0.5
52,Female,HR Executive,HR,182139.19,12494.28,5.76,2,0,3,7.7,3,Yes,Local_Synthetic,0.5
39,Male,Accountant,Finance,146446.47,12056.44,0.3,0,1,2,9.8,4,No,Local_Synthetic,0.5
53,Female,DevOps Engineer,Engineering,163712.55,17805.95,2.88,2,0,0,10.1,5,No,Local_Synthetic,0.5
27,Female,Operations Executive,Operations,95258.57,11603.09,1.53,2,0,1,5.3,3,No,Local_Synthetic,0.5
38,Male,Accountant,Finance,135058.86,12731.4,1.64,1,0,1,2.5,2,No,Local_Synthetic,0.5
45,Male,Project Manager,Operations,574847.44,37726.74,7.82,0,1,0,12.9,5,No,Local_Synthetic,0.5
38,Female,Senior Accountant,Finance,450945.04,27243.91,7.54,4,1,2,2.2,1,Yes,Local_Synthetic,0.5
37,Female,Project Manager,Operations,211940.33,31786.08,4.09,0,0,1,5.3,3,No,Local_Synthetic,0.5
27,Male,Marketing Manager,Marketing,306242.29,29256.92,0.88,3,1,1,14.2,5,No,Local_Synthetic,0.5
34,Male,Finance Controller,Finance,280224.02,38461.64,3.86,4,1,0,4.6,2,No,Local_Synthetic,0.5
30,Female,HR Executive,HR,154520.53,15179.73,1.01,3,3,0,5.7,2,No,Local_Synthetic,0.5
32,Male,DevOps Engineer,Engineering,64872.42,9227.18,5.2,1,0,1,5.8,3,No,Local_Synthetic,0.5
45,Female,Project Manager,Operations,270172.72,15879.65,0.68,2,0,0,1.9,1,Yes,Local_Synthetic,0.5
43,Female,Marketing Executive,Marketing,80023.8,4913.61,4.14,1,1,1,2.9,1,No,Local_Synthetic,0.5
42,Female,Senior Project Manager,Operations,295550.28,42252.82,1.66,1,1,0,5.8,2,Yes,Local_Synthetic,0.5
34,Male,Marketing Executive,Marketing,163882.49,23721.88,0.33,9,3,0,14.6,5,No,Local_Synthetic,0.5
54,Male,Digital Marketer,Marketing,74723.96,6087.89,4.83,0,2,1,5.3,2,No,Local_Synthetic,0.5
24,Male,Senior Project Manager,Operations,146755.69,12550.03,0.44,3,2,1,7.7,4,No,Local_Synthetic,0.5
33,Female,Accountant,Finance,197873.63,18846.48,14.96,2,1,0,4.3,3,Yes,Local_Synthetic,0.5
26,Male,Senior Software Engineer,Engineering,323953.38,29679.37,2.31,0,1,1,7.1,4,No,Local_Synthetic,0.5
33,Male,Senior Software Engineer,Engineering,209428.75,14451.53,1.24,0,1,1,5.8,2,No,Local_Synthetic,0.5
54,Male,Senior Account Manager,Sales,250272.27,34997.46,0.7,1,1,2,8.6,5,No,Local_Synthetic,0.5
34,Male,HR Executive,HR,82798.35,6237.26,2.55,2,1,0,5.0,2,Yes,Local_Synthetic,0.5
52,Male,Project Manager,Operations,185791.59,22392.95,4.87,2,1,0,11.4,4,No,Local_Synthetic,0.5
38,Female,HR Executive,HR,115978.92,6577.81,6.22,3,2,0,14.7,5,Yes,Local_Synthetic,0.5
45,Female,Software Engineer,Engineering,115648.21,6230.56,3.08,0,0,2,8.7,3,No,Local_Synthetic,0.5
37,Male,Senior Account Manager,Sales,216802.81,25013.2,11.86,1,1,3,8.4,4,Yes,Local_Synthetic,0.5
31,Male,Marketing Manager,Marketing,361721.68,30349.02,5.43,3,1,0,2.0,1,No,Local_Synthetic,0.5
47,Male,Digital Marketer,Marketing,68069.67,7865.17,0.62,1,1,0,8.9,3,Yes,Local_Synthetic,0.5
54,Female,HR Executive,HR,152692.19,9070.24,11.33,0,0,0,2.9,2,No,Local_Synthetic,0.5
30,Male,Operations Executive,Operations,133240.26,19317.86,1.41,3,0,0,6.9,5,No,Local_Synthetic,0.5
48,Female,Project Manager,Operations,397030.16,49569.79,11.9,2,0,0,14.6,5,No,Local_Synthetic,0.5
30,Male,Digital Marketer,Marketing,68141.28,9378.06,1.09,0,0,0,9.5,4,No,Local_Synthetic,0.5
46,Male,Digital Marketer,Marketing,49912.33,3176.77,1.84,0,0,0,10.4,5,No,Local_Synthetic,0.5
48,Female,Accountant,Finance,86311.28,7078.91,4.01,1,0,0,6.3,5,No,Local_Synthetic,0.5
37,Female,HR Manager,HR,226340.07,19654.11,0.26,2,1,0,8.1,4,No,Local_Synthetic,0.5
47,Female,Accountant,Finance,90420.54,9378.17,9.22,1,1,0,8.7,3,No,Local_Synthetic,0.5
31,Female,Senior Account Manager,Sales,329927.99,26290.92,1.57,4,1,1,4.4,2,No,Local_Synthetic,0.5
24,Female,HR Manager,HR,232405.19,13029.35,0.91,3,0,1,9.0,5,No,Local_Synthetic,0.5
25,Female,Senior Accountant,Finance,723884.77,62896.78,0.21,0,0,0,2.1,1,No,Local_Synthetic,0.5
37,Male,Accountant,Finance,76206.16,5750.13,0.09,1,0,0,2.8,1,No,Local_Synthetic,0.5
52,Male,Finance Controller,Finance,303761.51,26910.88,0.1,2,2,0,14.1,5,Yes,Local_Synthetic,0.5
26,Male,HR Executive,HR,94335.62,6574.81,1.33,2,0,0,1.8,1,Yes,Local_Synthetic,0.5
37,Male,HR Manager,HR,229850.49,17512.23,1.28,0,0,1,2.2,1,Yes,Local_Synthetic,0.5
45,Male,Software Engineer,Engineering,83467.09,9406.34,3.57,0,1,0,4.7,3,Yes,Local_Synthetic,0.5
28,Male,Senior Accountant,Finance,110458.63,9810.43,8.02,0,0,1,5.7,3,Yes,Local_Synthetic,0.5
46,Male,Accountant,Finance,152098.99,12858.2,4.1,7,1,0,1.4,1,No,Local_Synthetic,0.5
32,Female,Marketing Executive,Marketing,272505.84,28174.53,3.82,0,0,0,4.1,2,No,Local_Synthetic,0.5
49,Male,Finance Controller,Finance,233554.23,29704.84,1.94,1,1,1,4.3,2,No,Local_Synthetic,0.5
41,Female,HR Manager,HR,310664.25,27303.29,3.39,0,0,2,3.4,2,No,Local_Synthetic,0.5
40,Male,Software Engineer,Engineering,108799.11,11832.12,2.8,4,2,1,1.5,1,No,Local_Synthetic,0.5
28,Female,Senior Account Manager,Sales,262226.39,38447.7,0.19,1,0,0,5.2,4,No,Local_Synthetic,0.5
37,Female,HR Executive,HR,114240.55,11675.16,0.94,2,1,0,3.8,3,No,Local_Synthetic,0.5
51,Male,HR Executive,HR,63126.12,8899.51,0.91,3,0,1,12.1,5,No,Local_Synthetic,0.5
22,Male,HR Executive,HR,175210.69,22666.53,0.27,0,0,0,1.4,1,No,Local_Synthetic,0.5
47,Female,HR Executive,HR,134563.13,7518.29,1.6,2,0,1,4.9,4,No,Local_Synthetic,0.5
38,Female,Operations Executive,Operations,98219.33,9125.55,0.21,1,3,2,15.0,5,No,Local_Synthetic,0.5
46,Male,Senior Software Engineer,Engineering,294543.97,35295.75,5.27,0,1,2,4.6,3,No,Local_Synthetic,0.5
44,Female,Sales Executive,Sales,114131.84,16968.12,5.39,1,1,4,11.2,4,No,Local_Synthetic,0.5
36,Female,Software Engineer,Engineering,68271.94,6543.02,0.38,0,5,1,6.7,3,Yes,Local_Synthetic,0.5
